SiteProvince,DistrictName,EpiWeek,SampleCollectionDate,LabNumber,Sequence_ID,SiteName
Gauteng,Ekurhuleni MM,36.0,2023-09-04,ENV-COV-23-0765,ENV-COV-23-0765,Midstream
Gauteng,Ekurhuleni MM,36.0,2023-09-04,ENV-COV-23-0766,ENV-COV-23-0766,Tembisa Mall
Gauteng,Tshwane MM,35.0,2023-08-30,ENV-COV-23-0770,ENV-COV-23-0770,Rooiwal Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,36.0,2023-09-04,ENV-COV-23-0771,ENV-COV-23-0771,Northern Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,36.0,2023-09-05,ENV-COV-23-0772,ENV-COV-23-0772,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,36.0,2023-09-05,ENV-COV-23-0774,ENV-COV-23-0774,Atteridgeville Train Station
Gauteng,Tshwane MM,36.0,2023-09-05,ENV-COV-23-0775,ENV-COV-23-0775,Vergenoeg
Gauteng,Tshwane MM,36.0,2023-09-05,ENV-COV-23-0776,ENV-COV-23-0776,Laudium
Gauteng,Tshwane MM,36.0,2023-09-05,ENV-COV-23-0777,ENV-COV-23-0777,Groenkloof
Gauteng,Ekurhuleni MM,36.0,2023-09-05,ENV-COV-23-0778,ENV-COV-23-0778,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Johannesburg MM,36.0,2023-09-06,ENV-COV-23-0779,ENV-COV-23-0779,Goudkoppies Wastewater Treatment Works
Gauteng,Johannesburg MM,36.0,2023-09-06,ENV-COV-23-0780,ENV-COV-23-0780,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,36.0,2023-09-06,ENV-COV-23-0782,ENV-COV-23-0782,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,36.0,2023-09-06,ENV-COV-23-0783,ENV-COV-23-0783,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,36.0,2023-09-06,ENV-COV-23-0784,ENV-COV-23-0784,Bushkoppies Inlet
Gauteng,Johannesburg MM,36.0,2023-09-06,ENV-COV-23-0785,ENV-COV-23-0785,Bushkoppies Final
Free State,Mangaung MM,36.0,2023-09-05,ENV-COV-23-0786,ENV-COV-23-0786,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,36.0,2023-09-05,ENV-COV-23-0787,ENV-COV-23-0787,Bloemspruit Wastewater Treatment Works
Gauteng,Tshwane MM,36.0,2023-09-06,ENV-COV-23-0788,ENV-COV-23-0788,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,36.0,2023-09-07,ENV-COV-23-0789,ENV-COV-23-0789,Midstream
Gauteng,Ekurhuleni MM,36.0,2023-09-07,ENV-COV-23-0790,ENV-COV-23-0790,Tembisa Mall
Gauteng,Tshwane MM,37.0,2023-09-15,ENV-COV-23-0828,ENV-COV-23-0828,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,37.0,2023-09-15,ENV-COV-23-0830,ENV-COV-23-0830,Atteridgeville Train Station
Gauteng,Tshwane MM,37.0,2023-09-15,ENV-COV-23-0831,ENV-COV-23-0831,Vergenoeg
Gauteng,Tshwane MM,37.0,2023-09-15,ENV-COV-23-0833,ENV-COV-23-0833,Groenkloof
Gauteng,Ekurhuleni MM,38.0,2023-09-18,ENV-COV-23-0834,ENV-COV-23-0834,Midstream
Gauteng,Ekurhuleni MM,38.0,2023-09-18,ENV-COV-23-0835,ENV-COV-23-0835,Tembisa Mall
Gauteng,Ekurhuleni MM,38.0,2023-09-18,ENV-COV-23-0836,ENV-COV-23-0836,Moloreng
Gauteng,Ekurhuleni MM,38.0,2023-09-18,ENV-COV-23-0837,ENV-COV-23-0837,Sasol Garage
KwaZulu-Natal,Ethekwini MM,38.0,2023-09-18,ENV-COV-23-0838,ENV-COV-23-0838,Northern Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,38.0,2023-09-18,ENV-COV-23-0839,ENV-COV-23-0839,Central Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,38.0,2023-09-19,ENV-COV-23-0840,ENV-COV-23-0840,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,38.0,2023-09-19,ENV-COV-23-0843,ENV-COV-23-0843,Vergenoeg
Gauteng,Tshwane MM,38.0,2023-09-19,ENV-COV-23-0844,ENV-COV-23-0844,Laudium
Eastern Cape,Buffalo City MM,38.0,2023-09-12,ENV-COV-23-0846,ENV-COV-23-0846,Mdantsane Wastewater Treatment Works
Eastern Cape,Buffalo City MM,38.0,2023-09-14,ENV-COV-23-0848,ENV-COV-23-0848,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,38.0,2023-09-19,ENV-COV-23-0850,ENV-COV-23-0850,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,38.0,2023-09-20,ENV-COV-23-0851,ENV-COV-23-0851,Rooiwal Wastewater Treatment Works
Gauteng,Johannesburg MM,38.0,2023-09-20,ENV-COV-23-0852,ENV-COV-23-0852,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,38.0,2023-09-20,ENV-COV-23-0853,ENV-COV-23-0853,Motsoaledi
Gauteng,Johannesburg MM,38.0,2023-09-20,ENV-COV-23-0854,ENV-COV-23-0854,Bushkoppies Inlet
Gauteng,Johannesburg MM,38.0,2023-09-20,ENV-COV-23-0855,ENV-COV-23-0855,Bushkoppies Final
Gauteng,Johannesburg MM,38.0,2023-09-20,ENV-COV-23-0856,ENV-COV-23-0856,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,38.0,2023-09-21,ENV-COV-23-0857,ENV-COV-23-0857,Midstream
Gauteng,Ekurhuleni MM,38.0,2023-09-21,ENV-COV-23-0860,ENV-COV-23-0860,Moloreng
Gauteng,Ekurhuleni MM,38.0,2023-09-21,ENV-COV-23-0862,ENV-COV-23-0862,Sasol Garage
Eastern Cape,Buffalo City MM,38.0,2023-09-19,ENV-COV-23-0864,ENV-COV-23-0864,East Bank Wastewater Treatment Works
Gauteng,Tshwane MM,38.0,2023-09-22,ENV-COV-23-0865,ENV-COV-23-0865,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,38.0,2023-09-22,ENV-COV-23-0866,ENV-COV-23-0866,SAPS Training College
Gauteng,Tshwane MM,38.0,2023-09-22,ENV-COV-23-0867,ENV-COV-23-0867,Atteridgeville Train Station
Gauteng,Tshwane MM,38.0,2023-09-22,ENV-COV-23-0869,ENV-COV-23-0869,Laudium
Gauteng,Tshwane MM,38.0,2023-09-22,ENV-COV-23-0870,ENV-COV-23-0870,Groenkloof
Gauteng,Tshwane MM,39.0,2023-09-26,ENV-COV-23-0872,ENV-COV-23-0872,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,39.0,2023-09-26,ENV-COV-23-0873,ENV-COV-23-0873,SAPS Training College
Gauteng,Tshwane MM,39.0,2023-09-26,ENV-COV-23-0874,ENV-COV-23-0874,Atteridgeville Train Station
Gauteng,Tshwane MM,39.0,2023-09-26,ENV-COV-23-0875,ENV-COV-23-0875,Vergenoeg
Gauteng,Tshwane MM,39.0,2023-09-26,ENV-COV-23-0876,ENV-COV-23-0876,Laudium
Gauteng,Tshwane MM,39.0,2023-09-26,ENV-COV-23-0877,ENV-COV-23-0877,Groenkloof
Gauteng,Johannesburg MM,39.0,2023-09-27,ENV-COV-23-0879,ENV-COV-23-0879,Motsoaledi
Gauteng,Johannesburg MM,39.0,2023-09-27,ENV-COV-23-0880,ENV-COV-23-0880,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,39.0,2023-09-27,ENV-COV-23-0881,ENV-COV-23-0881,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,39.0,2023-09-27,ENV-COV-23-0882,ENV-COV-23-0882,Bushkoppies Inlet
Gauteng,Johannesburg MM,39.0,2023-09-27,ENV-COV-23-0883,ENV-COV-23-0883,Bushkoppies Final
Gauteng,Ekurhuleni MM,39.0,2023-09-26,ENV-COV-23-0884,ENV-COV-23-0884,Hartebeesfontein Waterworks
Free State,Mangaung MM,39.0,2023-09-26,ENV-COV-23-0885,ENV-COV-23-0885,Bloemspruit Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,39.0,2023-09-26,ENV-COV-23-0886,ENV-COV-23-0886,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,39.0,2023-09-26,ENV-COV-23-0887,ENV-COV-23-0887,Northern Wastewater Treatment Works (KZN)
Eastern Cape,Buffalo City MM,39.0,2023-09-26,ENV-COV-23-0888,ENV-COV-23-0888,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,39.0,2023-09-28,ENV-COV-23-0891,ENV-COV-23-0891,Midstream
Gauteng,Ekurhuleni MM,39.0,2023-09-28,ENV-COV-23-0895,ENV-COV-23-0895,Sasol Garage
Gauteng,Tshwane MM,39.0,2023-09-29,ENV-COV-23-0896,ENV-COV-23-0896,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,39.0,2023-09-29,ENV-COV-23-0897,ENV-COV-23-0897,SAPS Training College
Gauteng,Tshwane MM,39.0,2023-09-29,ENV-COV-23-0898,ENV-COV-23-0898,Atteridgeville Train Station
Gauteng,Ekurhuleni MM,40.0,2023-10-02,ENV-COV-23-0903,ENV-COV-23-0903,Tembisa Mall
Gauteng,Ekurhuleni MM,40.0,2023-10-02,ENV-COV-23-0904,ENV-COV-23-0904,Moloreng
Gauteng,Ekurhuleni MM,40.0,2023-10-02,ENV-COV-23-0906,ENV-COV-23-0906,Sasol Garage
Gauteng,Tshwane MM,40.0,2023-10-03,ENV-COV-23-0907,ENV-COV-23-0907,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,40.0,2023-10-03,ENV-COV-23-0908,ENV-COV-23-0908,SAPS Training College
Gauteng,Tshwane MM,40.0,2023-10-03,ENV-COV-23-0911,ENV-COV-23-0911,Vergenoeg
Gauteng,Tshwane MM,40.0,2023-10-03,ENV-COV-23-0912,ENV-COV-23-0912,Laudium
Gauteng,Tshwane MM,40.0,2023-10-03,ENV-COV-23-0913,ENV-COV-23-0913,Groenkloof
Gauteng,Johannesburg MM,40.0,2023-10-04,ENV-COV-23-0914,ENV-COV-23-0914,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,40.0,2023-10-04,ENV-COV-23-0918,ENV-COV-23-0918,Bushkoppies Inlet
Gauteng,Johannesburg MM,40.0,2023-10-04,ENV-COV-23-0919,ENV-COV-23-0919,Bushkoppies Final
Gauteng,Ekurhuleni MM,40.0,2023-10-05,ENV-COV-23-0926,ENV-COV-23-0926,Midstream
Eastern Cape,Buffalo City MM,39.0,2023-09-28,ENV-COV-23-0928,ENV-COV-23-0928,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,40.0,2023-10-03,ENV-COV-23-0929,ENV-COV-23-0929,Hartebeesfontein Waterworks
Gauteng,Ekurhuleni MM,40.0,2023-10-03,ENV-COV-23-0930,ENV-COV-23-0930,ERWAT Vlakplaat Wastewater Treatment Works
Eastern Cape,Buffalo City MM,40.0,2023-10-03,ENV-COV-23-0931,ENV-COV-23-0931,Mdantsane Wastewater Treatment Works
Eastern Cape,Buffalo City MM,40.0,2023-10-03,ENV-COV-23-0932,ENV-COV-23-0932,East Bank Wastewater Treatment Works
Free State,Mangaung MM,40.0,2023-10-03,ENV-COV-23-0933,ENV-COV-23-0933,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,40.0,2023-10-03,ENV-COV-23-0934,ENV-COV-23-0934,Sterkwater Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,40.0,2023-10-02,ENV-COV-23-0935,ENV-COV-23-0935,Central Wastewater Treatment Works (KZN)
Western Cape,Cape Town MM,40.0,2023-10-03,ENV-COV-23-0936,ENV-COV-23-0936,Zandvleit Wastewater Treatment Works
Gauteng,Tshwane MM,40.0,2023-10-06,ENV-COV-23-0937,ENV-COV-23-0937,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,40.0,2023-10-06,ENV-COV-23-0938,ENV-COV-23-0938,SAPS Training College
Gauteng,Tshwane MM,40.0,2023-10-06,ENV-COV-23-0939,ENV-COV-23-0939,Kalafong Hospital
Gauteng,Tshwane MM,40.0,2023-10-06,ENV-COV-23-0940,ENV-COV-23-0940,Atteridgeville Train Station
Gauteng,Tshwane MM,40.0,2023-10-06,ENV-COV-23-0941,ENV-COV-23-0941,Vergenoeg
Gauteng,Tshwane MM,40.0,2023-10-06,ENV-COV-23-0942,ENV-COV-23-0942,Laudium
Gauteng,Tshwane MM,40.0,2023-10-03,ENV-COV-23-0943,ENV-COV-23-0943,Groenkloof
Gauteng,Ekurhuleni MM,41.0,2023-10-09,ENV-COV-23-0944,ENV-COV-23-0944,Midstream
Gauteng,Ekurhuleni MM,41.0,2023-10-09,ENV-COV-23-0946,ENV-COV-23-0946,Moloreng
Gauteng,Ekurhuleni MM,41.0,2023-10-09,ENV-COV-23-0947,ENV-COV-23-0947,Namane Drive
Eastern Cape,Buffalo City MM,40.0,2023-10-05,ENV-COV-23-0949,ENV-COV-23-0949,Mdantsane Wastewater Treatment Works
Gauteng,Johannesburg MM,40.0,2023-10-04,ENV-COV-23-0950,ENV-COV-23-0950,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,41.0,2023-10-10,ENV-COV-23-0951,ENV-COV-23-0951,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,41.0,2023-10-10,ENV-COV-23-0952,ENV-COV-23-0952,SAPS Training College
Gauteng,Tshwane MM,41.0,2023-10-10,ENV-COV-23-0953,ENV-COV-23-0953,Kalafong Hospital
Gauteng,Tshwane MM,41.0,2023-10-10,ENV-COV-23-0954,ENV-COV-23-0954,Atteridgeville Train Station
Gauteng,Tshwane MM,41.0,2023-10-10,ENV-COV-23-0955,ENV-COV-23-0955,Vergenoeg
Gauteng,Tshwane MM,41.0,2023-10-10,ENV-COV-23-0957,ENV-COV-23-0957,Groenkloof
KwaZulu-Natal,Ethekwini MM,37.0,2023-09-10,ENV-COV-23-0958,ENV-COV-23-0958,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,37.0,2023-09-10,ENV-COV-23-0959,ENV-COV-23-0959,Central Wastewater Treatment Works (KZN)
Western Cape,Cape Town MM,37.0,2023-09-10,ENV-COV-23-0960,ENV-COV-23-0960,Zandvleit Wastewater Treatment Works
Western Cape,Cape Town MM,37.0,2023-09-10,ENV-COV-23-0961,ENV-COV-23-0961,Borcherds Quarry Wastewater Treatment Works
Gauteng,Ekurhuleni MM,41.0,2023-10-10,ENV-COV-23-0962,ENV-COV-23-0962,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,41.0,2023-10-11,ENV-COV-23-0967,ENV-COV-23-0967,Motsoaledi
Gauteng,Johannesburg MM,41.0,2023-10-11,ENV-COV-23-0968,ENV-COV-23-0968,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,41.0,2023-10-11,ENV-COV-23-0969,ENV-COV-23-0969,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,41.0,2023-10-11,ENV-COV-23-0970,ENV-COV-23-0970,Bushkoppies Inlet
Gauteng,Johannesburg MM,41.0,2023-10-11,ENV-COV-23-0971,ENV-COV-23-0971,Bushkoppies Final
Gauteng,Johannesburg MM,45.0,2023-11-11,ENV-COV-23-0972,ENV-COV-23-0972,Northern Wastewater Treatment Works (GP)
Eastern Cape,Buffalo City MM,41.0,2023-10-10,ENV-COV-23-0974,ENV-COV-23-0974,Mdantsane Wastewater Treatment Works
Free State,Mangaung MM,41.0,2023-10-10,ENV-COV-23-0975,ENV-COV-23-0975,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,41.0,2023-10-10,ENV-COV-23-0976,ENV-COV-23-0976,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,41.0,2023-10-13,ENV-COV-23-0992,ENV-COV-23-0992,Vergenoeg
Gauteng,Tshwane MM,41.0,2023-10-13,ENV-COV-23-0993,ENV-COV-23-0993,Laudium
Gauteng,Tshwane MM,41.0,2023-10-13,ENV-COV-23-0994,ENV-COV-23-0994,Groenkloof
Eastern Cape,Buffalo City MM,41.0,2023-10-12,ENV-COV-23-0995,ENV-COV-23-0995,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,42.0,2023-10-16,ENV-COV-23-0996,ENV-COV-23-0996,Midstream
Gauteng,Ekurhuleni MM,42.0,2023-10-16,ENV-COV-23-0997,ENV-COV-23-0997,Tembisa Mall
Gauteng,Ekurhuleni MM,42.0,2023-10-16,ENV-COV-23-0998,ENV-COV-23-0998,Moloreng
Gauteng,Ekurhuleni MM,42.0,2023-10-16,ENV-COV-23-0999,ENV-COV-23-0999,Namane Drive
Gauteng,Ekurhuleni MM,3.0,2023-01-17,ENV-COV-23-10,ENV-COV-23-10,Hartebeesfontein Waterworks
Gauteng,Tshwane MM,15.0,2023-04-12,ENV-COV-23-100,ENV-COV-23-100,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,42.0,2023-10-16,ENV-COV-23-1000,ENV-COV-23-1000,Sasol Garage
Gauteng,Ekurhuleni MM,42.0,2023-10-17,ENV-COV-23-1001,ENV-COV-23-1001,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2023-10-17,ENV-COV-23-1002,ENV-COV-23-1002,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2023-10-17,ENV-COV-23-1004,ENV-COV-23-1004,Kalafong Hospital
Gauteng,Tshwane MM,42.0,2023-10-17,ENV-COV-23-1005,ENV-COV-23-1005,Atteridgeville Train Station
Gauteng,Tshwane MM,42.0,2023-10-17,ENV-COV-23-1006,ENV-COV-23-1006,Vergenoeg
Gauteng,Tshwane MM,42.0,2023-10-17,ENV-COV-23-1008,ENV-COV-23-1008,Groenkloof
Gauteng,Johannesburg MM,42.0,2023-10-17,ENV-COV-23-1009,ENV-COV-23-1009,Northern Wastewater Treatment Works (GP)
Gauteng,Ekurhuleni MM,15.0,2023-04-11,ENV-COV-23-101,ENV-COV-23-101,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1010,ENV-COV-23-1010,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1011,ENV-COV-23-1011,Motsoaledi
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1012,ENV-COV-23-1012,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1013,ENV-COV-23-1013,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1014,ENV-COV-23-1014,Bushkoppies Inlet
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1015,ENV-COV-23-1015,Bushkoppies Final
Gauteng,Johannesburg MM,42.0,2023-10-18,ENV-COV-23-1016,ENV-COV-23-1016,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,42.0,2023-10-17,ENV-COV-23-1017,ENV-COV-23-1017,Hartebeesfontein Waterworks
Western Cape,Cape Town MM,42.0,2023-10-16,ENV-COV-23-1018,ENV-COV-23-1018,Zandvleit Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2023-10-18,ENV-COV-23-1019,ENV-COV-23-1019,Rooiwal Wastewater Treatment Works
Eastern Cape,Buffalo City MM,42.0,2023-10-17,ENV-COV-23-1020,ENV-COV-23-1020,Mdantsane Wastewater Treatment Works
Eastern Cape,Buffalo City MM,42.0,2023-10-17,ENV-COV-23-1021,ENV-COV-23-1021,East Bank Wastewater Treatment Works
Gauteng,Ekurhuleni MM,42.0,2023-10-19,ENV-COV-23-1022,ENV-COV-23-1022,Midstream
Gauteng,Ekurhuleni MM,42.0,2023-10-19,ENV-COV-23-1023,ENV-COV-23-1023,Tembisa Mall
Gauteng,Ekurhuleni MM,42.0,2023-10-19,ENV-COV-23-1025,ENV-COV-23-1025,Moloreng
Gauteng,Ekurhuleni MM,42.0,2023-10-19,ENV-COV-23-1026,ENV-COV-23-1026,Namane Drive
Gauteng,Ekurhuleni MM,42.0,2023-10-19,ENV-COV-23-1027,ENV-COV-23-1027,Sasol Garage
Eastern Cape,Buffalo City MM,42.0,2023-10-19,ENV-COV-23-1028,ENV-COV-23-1028,Mdantsane Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2023-10-20,ENV-COV-23-1029,ENV-COV-23-1029,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2023-10-20,ENV-COV-23-1030,ENV-COV-23-1030,SAPS Training College
Gauteng,Tshwane MM,42.0,2023-10-20,ENV-COV-23-1031,ENV-COV-23-1031,Atteridgeville Train Station
Gauteng,Tshwane MM,42.0,2023-10-20,ENV-COV-23-1032,ENV-COV-23-1032,Vergenoeg
Gauteng,Tshwane MM,42.0,2023-10-20,ENV-COV-23-1033,ENV-COV-23-1033,Laudium
Gauteng,Tshwane MM,42.0,2023-10-20,ENV-COV-23-1034,ENV-COV-23-1034,Groenkloof
Gauteng,Ekurhuleni MM,43.0,2023-10-23,ENV-COV-23-1035,ENV-COV-23-1035,Tembisa Mall
Gauteng,Ekurhuleni MM,43.0,2023-10-23,ENV-COV-23-1036,ENV-COV-23-1036,Olifantsfontein
Gauteng,Ekurhuleni MM,43.0,2023-10-23,ENV-COV-23-1037,ENV-COV-23-1037,Moloreng
Gauteng,Ekurhuleni MM,43.0,2023-10-23,ENV-COV-23-1038,ENV-COV-23-1038,Namane Drive
Gauteng,Ekurhuleni MM,16.0,2023-04-18,ENV-COV-23-104,ENV-COV-23-104,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,43.0,2023-10-24,ENV-COV-23-1040,ENV-COV-23-1040,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,43.0,2023-10-24,ENV-COV-23-1042,ENV-COV-23-1042,Groenkloof
Gauteng,Tshwane MM,43.0,2023-10-24,ENV-COV-23-1043,ENV-COV-23-1043,Kalafong Hospital
Gauteng,Tshwane MM,43.0,2023-10-24,ENV-COV-23-1045,ENV-COV-23-1045,Laudium
Gauteng,Tshwane MM,43.0,2023-10-24,ENV-COV-23-1046,ENV-COV-23-1046,Vergenoeg
Gauteng,Johannesburg MM,43.0,2023-10-24,ENV-COV-23-1047,ENV-COV-23-1047,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,43.0,2023-10-24,ENV-COV-23-1048,ENV-COV-23-1048,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,43.0,2023-10-25,ENV-COV-23-1049,ENV-COV-23-1049,Chris Hani Baragwanath Hospital
Gauteng,Ekurhuleni MM,16.0,2023-04-18,ENV-COV-23-105,ENV-COV-23-105,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,43.0,2023-10-25,ENV-COV-23-1050,ENV-COV-23-1050,Motsoaledi
Gauteng,Johannesburg MM,43.0,2023-10-25,ENV-COV-23-1051,ENV-COV-23-1051,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,43.0,2023-10-25,ENV-COV-23-1052,ENV-COV-23-1052,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,43.0,2023-10-25,ENV-COV-23-1053,ENV-COV-23-1053,Bushkoppies Inlet
Gauteng,Johannesburg MM,43.0,2023-10-25,ENV-COV-23-1054,ENV-COV-23-1054,Bushkoppies Final
Eastern Cape,Buffalo City MM,43.0,2023-10-24,ENV-COV-23-1055,ENV-COV-23-1055,Mdantsane Wastewater Treatment Works
Eastern Cape,Buffalo City MM,43.0,2023-10-24,ENV-COV-23-1056,ENV-COV-23-1056,East Bank Wastewater Treatment Works
Free State,Mangaung MM,43.0,2023-10-24,ENV-COV-23-1057,ENV-COV-23-1057,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,43.0,2023-10-24,ENV-COV-23-1058,ENV-COV-23-1058,Sterkwater Wastewater Treatment Works
Western Cape,Cape Town MM,43.0,2023-10-24,ENV-COV-23-1059,ENV-COV-23-1059,Zandvleit Wastewater Treatment Works
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-106,ENV-COV-23-106,Atteridgeville Train Station
Gauteng,Tshwane MM,43.0,2023-10-25,ENV-COV-23-1060,ENV-COV-23-1060,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,43.0,2023-10-26,ENV-COV-23-1061,ENV-COV-23-1061,Midstream
Gauteng,Ekurhuleni MM,43.0,2023-10-26,ENV-COV-23-1062,ENV-COV-23-1062,Moloreng
Gauteng,Ekurhuleni MM,43.0,2023-10-26,ENV-COV-23-1063,ENV-COV-23-1063,Namane Drive
Gauteng,Ekurhuleni MM,43.0,2023-10-26,ENV-COV-23-1064,ENV-COV-23-1064,Olifantsfontein
Gauteng,Ekurhuleni MM,43.0,2023-10-26,ENV-COV-23-1065,ENV-COV-23-1065,Sasol Garage
Gauteng,Ekurhuleni MM,43.0,2023-10-26,ENV-COV-23-1066,ENV-COV-23-1066,Tembisa Mall
Gauteng,Tshwane MM,43.0,2023-10-27,ENV-COV-23-1068,ENV-COV-23-1068,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,43.0,2023-10-27,ENV-COV-23-1069,ENV-COV-23-1069,SAPS Training College
Gauteng,Tshwane MM,43.0,2023-10-27,ENV-COV-23-1071,ENV-COV-23-1071,Atteridgeville Train Station
Gauteng,Tshwane MM,43.0,2023-10-27,ENV-COV-23-1074,ENV-COV-23-1074,Groenkloof
Western Cape,Cape Town MM,43.0,2023-10-26,ENV-COV-23-1075,ENV-COV-23-1075,Borcherds Quarry Wastewater Treatment Works
North West,Bojanala Platinum DM,43.0,2023-10-27,ENV-COV-23-1076,ENV-COV-23-1076,Rustenburg Wastewater Treatment Works
Gauteng,Ekurhuleni MM,44.0,2023-10-30,ENV-COV-23-1077,ENV-COV-23-1077,Midstream
Gauteng,Ekurhuleni MM,44.0,2023-10-30,ENV-COV-23-1078,ENV-COV-23-1078,Olifantsfontein
Gauteng,Ekurhuleni MM,44.0,2023-10-30,ENV-COV-23-1079,ENV-COV-23-1079,Tembisa Mall
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-108,ENV-COV-23-108,Groenkloof
Gauteng,Ekurhuleni MM,44.0,2023-10-30,ENV-COV-23-1080,ENV-COV-23-1080,Moloreng
Gauteng,Ekurhuleni MM,44.0,2023-10-30,ENV-COV-23-1081,ENV-COV-23-1081,Namane Drive
Gauteng,Ekurhuleni MM,44.0,2023-10-30,ENV-COV-23-1082,ENV-COV-23-1082,Sasol Garage
Gauteng,Tshwane MM,44.0,2023-10-31,ENV-COV-23-1083,ENV-COV-23-1083,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,44.0,2023-10-31,ENV-COV-23-1084,ENV-COV-23-1084,SAPS Training College
Gauteng,Tshwane MM,44.0,2023-10-31,ENV-COV-23-1085,ENV-COV-23-1085,Kalafong Hospital
Gauteng,Tshwane MM,44.0,2023-10-31,ENV-COV-23-1087,ENV-COV-23-1087,Groenkloof
Gauteng,Tshwane MM,16.0,2023-04-19,ENV-COV-23-109,ENV-COV-23-109,Laudium
Gauteng,Johannesburg MM,44.0,2023-11-01,ENV-COV-23-1091,ENV-COV-23-1091,Klipspruit Veggies (After tunnel)
Gauteng,Johannesburg MM,44.0,2023-11-01,ENV-COV-23-1092,ENV-COV-23-1092,Bushkoppies Inlet
Gauteng,Johannesburg MM,44.0,2023-11-01,ENV-COV-23-1093,ENV-COV-23-1093,Bushkoppies Final
